"reporter_desc","Year","variable","value","Source"
"Malta",2015,"Total_Net_Wgt",7517826,"Raw Exports"
"Malta",2016,"Total_Net_Wgt",11136959,"Raw Exports"
"Malta",2019,"Total_Net_Wgt",12992477,"Raw Exports"
"Malta",2020,"Total_Net_Wgt",10828069,"Raw Exports"
"Malta",2021,"Total_Net_Wgt",10249214,"Raw Exports"
"Malta",2022,"Total_Net_Wgt",10474698,"Raw Exports"
"Malta",2023,"Total_Net_Wgt",12282951,"Raw Exports"
"Malta",2024,"Total_Net_Wgt",10592424,"Raw Exports"
"Mauritius",2010,"Total_Net_Wgt",5548700,"Raw Exports"
"Mauritius",2011,"Total_Net_Wgt",11170063,"Raw Exports"
"Mauritius",2012,"Total_Net_Wgt",20945735,"Raw Exports"
"Mauritius",2013,"Total_Net_Wgt",11279930,"Raw Exports"
"Mauritius",2014,"Total_Net_Wgt",14462968,"Raw Exports"
"Mauritius",2015,"Total_Net_Wgt",11515015,"Raw Exports"
"Mauritius",2016,"Total_Net_Wgt",17080343,"Raw Exports"
"Mauritius",2017,"Total_Net_Wgt",9369962,"Raw Exports"
"Mauritius",2018,"Total_Net_Wgt",7935675,"Raw Exports"
"Mauritius",2019,"Total_Net_Wgt",10282151,"Raw Exports"
"Mauritius",2020,"Total_Net_Wgt",12151781,"Raw Exports"
"Mauritius",2021,"Total_Net_Wgt",17139572,"Raw Exports"
"Mauritius",2022,"Total_Net_Wgt",22922599,"Raw Exports"
"Mauritius",2023,"Total_Net_Wgt",24043460,"Raw Exports"
"Mauritius",2024,"Total_Net_Wgt",18084374,"Raw Exports"
"Mauritius",2025,"Total_Net_Wgt",7209974,"Raw Exports"
"Mexico",2010,"Total_Net_Wgt",24541358.73,"Raw Exports"
"Mexico",2011,"Total_Net_Wgt",31293924.048,"Raw Exports"
"Mexico",2012,"Total_Net_Wgt",31888656.604,"Raw Exports"
"Mexico",2013,"Total_Net_Wgt",17216264.508,"Raw Exports"
"Mexico",2014,"Total_Net_Wgt",7909226,"Raw Exports"
"Mexico",2015,"Total_Net_Wgt",4634277,"Raw Exports"
"Mexico",2016,"Total_Net_Wgt",7258666,"Raw Exports"
"Mexico",2017,"Total_Net_Wgt",1876092,"Raw Exports"
"Mexico",2018,"Total_Net_Wgt",2181082,"Raw Exports"
"Mexico",2019,"Total_Net_Wgt",1871212,"Raw Exports"
"Mexico",2021,"Total_Net_Wgt",1939411,"Raw Exports"
"Mexico",2022,"Total_Net_Wgt",1771285,"Raw Exports"
"Mexico",2023,"Total_Net_Wgt",1728846,"Raw Exports"
"Mexico",2024,"Total_Net_Wgt",2771943,"Raw Exports"
"Minnows",2000,"Total_Net_Wgt",3192016.31,"Raw Exports"
"Minnows",2001,"Total_Net_Wgt",2403492.97,"Raw Exports"
"Minnows",2002,"Total_Net_Wgt",5014872,"Raw Exports"
"Minnows",2003,"Total_Net_Wgt",6855602.19,"Raw Exports"
"Minnows",2004,"Total_Net_Wgt",5245774.893,"Raw Exports"
"Minnows",2005,"Total_Net_Wgt",4498260.735,"Raw Exports"
"Minnows",2006,"Total_Net_Wgt",4665182.714,"Raw Exports"
"Minnows",2007,"Total_Net_Wgt",3416401.516,"Raw Exports"
"Minnows",2008,"Total_Net_Wgt",6411764.352,"Raw Exports"
"Minnows",2009,"Total_Net_Wgt",3790132.04,"Raw Exports"
"Minnows",2010,"Total_Net_Wgt",8577077.886,"Raw Exports"
"Minnows",2011,"Total_Net_Wgt",9826435.798,"Raw Exports"
"Minnows",2012,"Total_Net_Wgt",11193535.556,"Raw Exports"
"Minnows",2013,"Total_Net_Wgt",13476226.897,"Raw Exports"
"Minnows",2014,"Total_Net_Wgt",11432164.779,"Raw Exports"
"Minnows",2015,"Total_Net_Wgt",13736050.896,"Raw Exports"
"Minnows",2016,"Total_Net_Wgt",17384660.454,"Raw Exports"
"Minnows",2017,"Total_Net_Wgt",17028475.805,"Raw Exports"
"Minnows",2018,"Total_Net_Wgt",19956583.748,"Raw Exports"
"Minnows",2019,"Total_Net_Wgt",18338572.289,"Raw Exports"
"Minnows",2020,"Total_Net_Wgt",16069679.27,"Raw Exports"
"Minnows",2021,"Total_Net_Wgt",15879834.966,"Raw Exports"
"Minnows",2022,"Total_Net_Wgt",13661951.435,"Raw Exports"
"Minnows",2023,"Total_Net_Wgt",13706265.955,"Raw Exports"
"Minnows",2024,"Total_Net_Wgt",13795725.301,"Raw Exports"
"Minnows",2025,"Total_Net_Wgt",6523716.112,"Raw Exports"
"Missing Exports",2003,"Total_Net_Wgt",NA,"Raw Exports"
"Missing Exports",2005,"Total_Net_Wgt",NA,"Raw Exports"
"Missing Exports",2006,"Total_Net_Wgt",NA,"Raw Exports"
"Missing Exports",2007,"Total_Net_Wgt",205839298.048,"Raw Exports"
"Missing Exports",2010,"Total_Net_Wgt",210153917.119,"Raw Exports"
"Missing Exports",2011,"Total_Net_Wgt",378582753.753,"Raw Exports"
"Missing Exports",2012,"Total_Net_Wgt",721436047.761,"Raw Exports"
"Missing Exports",2013,"Total_Net_Wgt",375696358.289,"Raw Exports"
"Missing Exports",2014,"Total_Net_Wgt",670632204.794,"Raw Exports"
"Missing Exports",2015,"Total_Net_Wgt",573747218.33,"Raw Exports"
"Missing Exports",2016,"Total_Net_Wgt",1051552261.872,"Raw Exports"
"Missing Exports",2017,"Total_Net_Wgt",466434284.77,"Raw Exports"
"Missing Exports",2018,"Total_Net_Wgt",491917371.303,"Raw Exports"
"Missing Exports",2019,"Total_Net_Wgt",485907162.925,"Raw Exports"
