"Year","PNA","Measure","variable","value"
2002,"High Seas","I3","Fleet_catch_in_national_waters_of_FFA_members",0
2003,"High Seas","I3","Fleet_catch_in_national_waters_of_FFA_members",0
2004,"High Seas","I3","Fleet_catch_in_national_waters_of_FFA_members",0
2005,"High Seas","I3","Fleet_catch_in_national_waters_of_FFA_members",0
2006,"High Seas","I3","Fleet_catch_in_national_waters_of_FFA_members",0
2007,"High Seas","I3","Fleet_catch_in_national_waters_of_FFA_members",0
2008,"High Seas","I3","Fleet_catch_in_national_waters_of_FFA_members",0
2009,"High Seas","I3","Fleet_catch_in_national_waters_of_FFA_members",0
2010,"High Seas","I3","Fleet_catch_in_national_waters_of_FFA_members",0
2011,"High Seas","I3","Fleet_catch_in_national_waters_of_FFA_members",0
2012,"High Seas","I3","Fleet_catch_in_national_waters_of_FFA_members",0
2013,"High Seas","I3","Fleet_catch_in_national_waters_of_FFA_members",0
2014,"High Seas","I3","Fleet_catch_in_national_waters_of_FFA_members",0
2015,"High Seas","I3","Fleet_catch_in_national_waters_of_FFA_members",0
2016,"High Seas","I3","Fleet_catch_in_national_waters_of_FFA_members",0
2017,"High Seas","I3","Fleet_catch_in_national_waters_of_FFA_members",0
2018,"High Seas","I3","Fleet_catch_in_national_waters_of_FFA_members",0
2019,"High Seas","I3","Fleet_catch_in_national_waters_of_FFA_members",0
2020,"High Seas","I3","Fleet_catch_in_national_waters_of_FFA_members",0
2021,"High Seas","I3","Fleet_catch_in_national_waters_of_FFA_members",0
2022,"High Seas","I3","Fleet_catch_in_national_waters_of_FFA_members",0
2023,"High Seas","I3","Fleet_catch_in_national_waters_of_FFA_members",0
1997,"High Seas","I4","Fleet_catch_in_national_waters_of_FFA_members",0
1998,"High Seas","I4","Fleet_catch_in_national_waters_of_FFA_members",0
1999,"High Seas","I4","Fleet_catch_in_national_waters_of_FFA_members",0
2000,"High Seas","I4","Fleet_catch_in_national_waters_of_FFA_members",0
2001,"High Seas","I4","Fleet_catch_in_national_waters_of_FFA_members",0
2002,"High Seas","I4","Fleet_catch_in_national_waters_of_FFA_members",0
2003,"High Seas","I4","Fleet_catch_in_national_waters_of_FFA_members",0
2004,"High Seas","I4","Fleet_catch_in_national_waters_of_FFA_members",0
2005,"High Seas","I4","Fleet_catch_in_national_waters_of_FFA_members",0
2006,"High Seas","I4","Fleet_catch_in_national_waters_of_FFA_members",0
2007,"High Seas","I4","Fleet_catch_in_national_waters_of_FFA_members",0
2008,"High Seas","I4","Fleet_catch_in_national_waters_of_FFA_members",0
2009,"High Seas","I4","Fleet_catch_in_national_waters_of_FFA_members",0
2010,"High Seas","I4","Fleet_catch_in_national_waters_of_FFA_members",0
2011,"High Seas","I4","Fleet_catch_in_national_waters_of_FFA_members",0
2012,"High Seas","I4","Fleet_catch_in_national_waters_of_FFA_members",0
2013,"High Seas","I4","Fleet_catch_in_national_waters_of_FFA_members",0
2014,"High Seas","I4","Fleet_catch_in_national_waters_of_FFA_members",0
2015,"High Seas","I4","Fleet_catch_in_national_waters_of_FFA_members",0
2016,"High Seas","I4","Fleet_catch_in_national_waters_of_FFA_members",0
2017,"High Seas","I4","Fleet_catch_in_national_waters_of_FFA_members",0
2018,"High Seas","I4","Fleet_catch_in_national_waters_of_FFA_members",0
2019,"High Seas","I4","Fleet_catch_in_national_waters_of_FFA_members",0
2020,"High Seas","I4","Fleet_catch_in_national_waters_of_FFA_members",0
2021,"High Seas","I4","Fleet_catch_in_national_waters_of_FFA_members",0
2022,"High Seas","I4","Fleet_catch_in_national_waters_of_FFA_members",0
2023,"High Seas","I4","Fleet_catch_in_national_waters_of_FFA_members",0
1997,"High Seas","I5","Fleet_catch_in_national_waters_of_FFA_members",0
1998,"High Seas","I5","Fleet_catch_in_national_waters_of_FFA_members",0
1999,"High Seas","I5","Fleet_catch_in_national_waters_of_FFA_members",0
2000,"High Seas","I5","Fleet_catch_in_national_waters_of_FFA_members",0
2001,"High Seas","I5","Fleet_catch_in_national_waters_of_FFA_members",0
2002,"High Seas","I5","Fleet_catch_in_national_waters_of_FFA_members",0
2003,"High Seas","I5","Fleet_catch_in_national_waters_of_FFA_members",0
2004,"High Seas","I5","Fleet_catch_in_national_waters_of_FFA_members",0
2005,"High Seas","I5","Fleet_catch_in_national_waters_of_FFA_members",0
2006,"High Seas","I5","Fleet_catch_in_national_waters_of_FFA_members",0
2007,"High Seas","I5","Fleet_catch_in_national_waters_of_FFA_members",0
2008,"High Seas","I5","Fleet_catch_in_national_waters_of_FFA_members",0
2009,"High Seas","I5","Fleet_catch_in_national_waters_of_FFA_members",0
2010,"High Seas","I5","Fleet_catch_in_national_waters_of_FFA_members",0
2011,"High Seas","I5","Fleet_catch_in_national_waters_of_FFA_members",0
2012,"High Seas","I5","Fleet_catch_in_national_waters_of_FFA_members",0
2013,"High Seas","I5","Fleet_catch_in_national_waters_of_FFA_members",0
2014,"High Seas","I5","Fleet_catch_in_national_waters_of_FFA_members",0
2015,"High Seas","I5","Fleet_catch_in_national_waters_of_FFA_members",0
2016,"High Seas","I5","Fleet_catch_in_national_waters_of_FFA_members",0
2017,"High Seas","I5","Fleet_catch_in_national_waters_of_FFA_members",0
2018,"High Seas","I5","Fleet_catch_in_national_waters_of_FFA_members",0
2019,"High Seas","I5","Fleet_catch_in_national_waters_of_FFA_members",0
2020,"High Seas","I5","Fleet_catch_in_national_waters_of_FFA_members",0
2021,"High Seas","I5","Fleet_catch_in_national_waters_of_FFA_members",0
2022,"High Seas","I5","Fleet_catch_in_national_waters_of_FFA_members",0
2023,"High Seas","I5","Fleet_catch_in_national_waters_of_FFA_members",0
1997,"High Seas","I6","Fleet_catch_in_national_waters_of_FFA_members",0
1998,"High Seas","I6","Fleet_catch_in_national_waters_of_FFA_members",0
1999,"High Seas","I6","Fleet_catch_in_national_waters_of_FFA_members",0
2000,"High Seas","I6","Fleet_catch_in_national_waters_of_FFA_members",0
2001,"High Seas","I6","Fleet_catch_in_national_waters_of_FFA_members",0
2002,"High Seas","I6","Fleet_catch_in_national_waters_of_FFA_members",0
2003,"High Seas","I6","Fleet_catch_in_national_waters_of_FFA_members",0
2004,"High Seas","I6","Fleet_catch_in_national_waters_of_FFA_members",0
2005,"High Seas","I6","Fleet_catch_in_national_waters_of_FFA_members",0
2006,"High Seas","I6","Fleet_catch_in_national_waters_of_FFA_members",0
2007,"High Seas","I6","Fleet_catch_in_national_waters_of_FFA_members",0
2008,"High Seas","I6","Fleet_catch_in_national_waters_of_FFA_members",0
2009,"High Seas","I6","Fleet_catch_in_national_waters_of_FFA_members",0
2010,"High Seas","I6","Fleet_catch_in_national_waters_of_FFA_members",0
2011,"High Seas","I6","Fleet_catch_in_national_waters_of_FFA_members",0
2012,"High Seas","I6","Fleet_catch_in_national_waters_of_FFA_members",0
2013,"High Seas","I6","Fleet_catch_in_national_waters_of_FFA_members",0
2014,"High Seas","I6","Fleet_catch_in_national_waters_of_FFA_members",0
2015,"High Seas","I6","Fleet_catch_in_national_waters_of_FFA_members",0
2016,"High Seas","I6","Fleet_catch_in_national_waters_of_FFA_members",0
2017,"High Seas","I6","Fleet_catch_in_national_waters_of_FFA_members",0
2018,"High Seas","I6","Fleet_catch_in_national_waters_of_FFA_members",0
2019,"High Seas","I6","Fleet_catch_in_national_waters_of_FFA_members",0
2020,"High Seas","I6","Fleet_catch_in_national_waters_of_FFA_members",0
2021,"High Seas","I6","Fleet_catch_in_national_waters_of_FFA_members",0
2022,"High Seas","I6","Fleet_catch_in_national_waters_of_FFA_members",0
2023,"High Seas","I6","Fleet_catch_in_national_waters_of_FFA_members",0
1997,"High Seas","I7","Fleet_catch_in_national_waters_of_FFA_members",0
1998,"High Seas","I7","Fleet_catch_in_national_waters_of_FFA_members",0
1999,"High Seas","I7","Fleet_catch_in_national_waters_of_FFA_members",0
2000,"High Seas","I7","Fleet_catch_in_national_waters_of_FFA_members",0
2001,"High Seas","I7","Fleet_catch_in_national_waters_of_FFA_members",0
2002,"High Seas","I7","Fleet_catch_in_national_waters_of_FFA_members",0
2003,"High Seas","I7","Fleet_catch_in_national_waters_of_FFA_members",0
2004,"High Seas","I7","Fleet_catch_in_national_waters_of_FFA_members",0
2005,"High Seas","I7","Fleet_catch_in_national_waters_of_FFA_members",0
2006,"High Seas","I7","Fleet_catch_in_national_waters_of_FFA_members",0
2007,"High Seas","I7","Fleet_catch_in_national_waters_of_FFA_members",0
2008,"High Seas","I7","Fleet_catch_in_national_waters_of_FFA_members",0
2009,"High Seas","I7","Fleet_catch_in_national_waters_of_FFA_members",0
2010,"High Seas","I7","Fleet_catch_in_national_waters_of_FFA_members",0
2011,"High Seas","I7","Fleet_catch_in_national_waters_of_FFA_members",0
2012,"High Seas","I7","Fleet_catch_in_national_waters_of_FFA_members",0
2013,"High Seas","I7","Fleet_catch_in_national_waters_of_FFA_members",0
2014,"High Seas","I7","Fleet_catch_in_national_waters_of_FFA_members",0
2015,"High Seas","I7","Fleet_catch_in_national_waters_of_FFA_members",0
2016,"High Seas","I7","Fleet_catch_in_national_waters_of_FFA_members",0
2017,"High Seas","I7","Fleet_catch_in_national_waters_of_FFA_members",0
2018,"High Seas","I7","Fleet_catch_in_national_waters_of_FFA_members",0
2019,"High Seas","I7","Fleet_catch_in_national_waters_of_FFA_members",0
2020,"High Seas","I7","Fleet_catch_in_national_waters_of_FFA_members",0
2021,"High Seas","I7","Fleet_catch_in_national_waters_of_FFA_members",0
2022,"High Seas","I7","Fleet_catch_in_national_waters_of_FFA_members",0
2023,"High Seas","I7","Fleet_catch_in_national_waters_of_FFA_members",0
1997,"High Seas","I8","Fleet_catch_in_national_waters_of_FFA_members",0
1998,"High Seas","I8","Fleet_catch_in_national_waters_of_FFA_members",0
1999,"High Seas","I8","Fleet_catch_in_national_waters_of_FFA_members",0
2000,"High Seas","I8","Fleet_catch_in_national_waters_of_FFA_members",0
2001,"High Seas","I8","Fleet_catch_in_national_waters_of_FFA_members",0
2002,"High Seas","I8","Fleet_catch_in_national_waters_of_FFA_members",0
2003,"High Seas","I8","Fleet_catch_in_national_waters_of_FFA_members",0
2004,"High Seas","I8","Fleet_catch_in_national_waters_of_FFA_members",0
2005,"High Seas","I8","Fleet_catch_in_national_waters_of_FFA_members",0
2006,"High Seas","I8","Fleet_catch_in_national_waters_of_FFA_members",0
2007,"High Seas","I8","Fleet_catch_in_national_waters_of_FFA_members",0
2008,"High Seas","I8","Fleet_catch_in_national_waters_of_FFA_members",0
2009,"High Seas","I8","Fleet_catch_in_national_waters_of_FFA_members",0
2010,"High Seas","I8","Fleet_catch_in_national_waters_of_FFA_members",0
2011,"High Seas","I8","Fleet_catch_in_national_waters_of_FFA_members",0
2012,"High Seas","I8","Fleet_catch_in_national_waters_of_FFA_members",0
2013,"High Seas","I8","Fleet_catch_in_national_waters_of_FFA_members",0
2014,"High Seas","I8","Fleet_catch_in_national_waters_of_FFA_members",0
2015,"High Seas","I8","Fleet_catch_in_national_waters_of_FFA_members",0
2016,"High Seas","I8","Fleet_catch_in_national_waters_of_FFA_members",0
2017,"High Seas","I8","Fleet_catch_in_national_waters_of_FFA_members",0
2018,"High Seas","I8","Fleet_catch_in_national_waters_of_FFA_members",0
2019,"High Seas","I8","Fleet_catch_in_national_waters_of_FFA_members",0
2020,"High Seas","I8","Fleet_catch_in_national_waters_of_FFA_members",0
2021,"High Seas","I8","Fleet_catch_in_national_waters_of_FFA_members",0
2022,"High Seas","I8","Fleet_catch_in_national_waters_of_FFA_members",0
2023,"High Seas","I8","Fleet_catch_in_national_waters_of_FFA_members",0
1997,"High Seas","I9","Fleet_catch_in_national_waters_of_FFA_members",0
1998,"High Seas","I9","Fleet_catch_in_national_waters_of_FFA_members",0
1999,"High Seas","I9","Fleet_catch_in_national_waters_of_FFA_members",0
2000,"High Seas","I9","Fleet_catch_in_national_waters_of_FFA_members",0
2001,"High Seas","I9","Fleet_catch_in_national_waters_of_FFA_members",0
2002,"High Seas","I9","Fleet_catch_in_national_waters_of_FFA_members",0
2003,"High Seas","I9","Fleet_catch_in_national_waters_of_FFA_members",0
2004,"High Seas","I9","Fleet_catch_in_national_waters_of_FFA_members",0
2005,"High Seas","I9","Fleet_catch_in_national_waters_of_FFA_members",0
2006,"High Seas","I9","Fleet_catch_in_national_waters_of_FFA_members",0
2007,"High Seas","I9","Fleet_catch_in_national_waters_of_FFA_members",0
2008,"High Seas","I9","Fleet_catch_in_national_waters_of_FFA_members",0
2009,"High Seas","I9","Fleet_catch_in_national_waters_of_FFA_members",0
2010,"High Seas","I9","Fleet_catch_in_national_waters_of_FFA_members",0
2011,"High Seas","I9","Fleet_catch_in_national_waters_of_FFA_members",0
2012,"High Seas","I9","Fleet_catch_in_national_waters_of_FFA_members",0
2013,"High Seas","I9","Fleet_catch_in_national_waters_of_FFA_members",0
2014,"High Seas","I9","Fleet_catch_in_national_waters_of_FFA_members",0
2015,"High Seas","I9","Fleet_catch_in_national_waters_of_FFA_members",0
2016,"High Seas","I9","Fleet_catch_in_national_waters_of_FFA_members",0
2017,"High Seas","I9","Fleet_catch_in_national_waters_of_FFA_members",0
2018,"High Seas","I9","Fleet_catch_in_national_waters_of_FFA_members",0
2019,"High Seas","I9","Fleet_catch_in_national_waters_of_FFA_members",0
2020,"High Seas","I9","Fleet_catch_in_national_waters_of_FFA_members",0
2021,"High Seas","I9","Fleet_catch_in_national_waters_of_FFA_members",0
2022,"High Seas","I9","Fleet_catch_in_national_waters_of_FFA_members",0
2023,"High Seas","I9","Fleet_catch_in_national_waters_of_FFA_members",0
1997,"Non-PNA Member","Indonesia","Fleet_catch_in_national_waters_of_FFA_members",-256670
1998,"Non-PNA Member","Indonesia","Fleet_catch_in_national_waters_of_FFA_members",-338881
1999,"Non-PNA Member","Indonesia","Fleet_catch_in_national_waters_of_FFA_members",-321618
2000,"Non-PNA Member","Indonesia","Fleet_catch_in_national_waters_of_FFA_members",-342203
2001,"Non-PNA Member","Indonesia","Fleet_catch_in_national_waters_of_FFA_members",-314888
2002,"Non-PNA Member","Indonesia","Fleet_catch_in_national_waters_of_FFA_members",-302659
2003,"Non-PNA Member","Indonesia","Fleet_catch_in_national_waters_of_FFA_members",-310657
2004,"Non-PNA Member","Indonesia","Fleet_catch_in_national_waters_of_FFA_members",-411985
2005,"Non-PNA Member","Indonesia","Fleet_catch_in_national_waters_of_FFA_members",-247514
2006,"Non-PNA Member","Indonesia","Fleet_catch_in_national_waters_of_FFA_members",-285844
2007,"Non-PNA Member","Indonesia","Fleet_catch_in_national_waters_of_FFA_members",-321890
2008,"Non-PNA Member","Indonesia","Fleet_catch_in_national_waters_of_FFA_members",-334970
2009,"Non-PNA Member","Indonesia","Fleet_catch_in_national_waters_of_FFA_members",-388635
2010,"Non-PNA Member","Indonesia","Fleet_catch_in_national_waters_of_FFA_members",-358254
2011,"Non-PNA Member","Indonesia","Fleet_catch_in_national_waters_of_FFA_members",-397915
2012,"Non-PNA Member","Indonesia","Fleet_catch_in_national_waters_of_FFA_members",-443316
2013,"Non-PNA Member","Indonesia","Fleet_catch_in_national_waters_of_FFA_members",-526236
2014,"Non-PNA Member","Indonesia","Fleet_catch_in_national_waters_of_FFA_members",-482917
2015,"Non-PNA Member","Indonesia","Fleet_catch_in_national_waters_of_FFA_members",-432078
2016,"Non-PNA Member","Indonesia","Fleet_catch_in_national_waters_of_FFA_members",-525633
2017,"Non-PNA Member","Indonesia","Fleet_catch_in_national_waters_of_FFA_members",-470964
2018,"Non-PNA Member","Indonesia","Fleet_catch_in_national_waters_of_FFA_members",-526475
2019,"Non-PNA Member","Indonesia","Fleet_catch_in_national_waters_of_FFA_members",-536212
2020,"Non-PNA Member","Indonesia","Fleet_catch_in_national_waters_of_FFA_members",-514558
2021,"Non-PNA Member","Indonesia","Fleet_catch_in_national_waters_of_FFA_members",-546944
2022,"Non-PNA Member","Indonesia","Fleet_catch_in_national_waters_of_FFA_members",-513429
2023,"Non-PNA Member","Indonesia","Fleet_catch_in_national_waters_of_FFA_members",-513429
1997,"High Seas","IW","Fleet_catch_in_national_waters_of_FFA_members",0
1998,"High Seas","IW","Fleet_catch_in_national_waters_of_FFA_members",0
1999,"High Seas","IW","Fleet_catch_in_national_waters_of_FFA_members",0
2000,"High Seas","IW","Fleet_catch_in_national_waters_of_FFA_members",0
2001,"High Seas","IW","Fleet_catch_in_national_waters_of_FFA_members",0
2002,"High Seas","IW","Fleet_catch_in_national_waters_of_FFA_members",0
2003,"High Seas","IW","Fleet_catch_in_national_waters_of_FFA_members",0
2004,"High Seas","IW","Fleet_catch_in_national_waters_of_FFA_members",0
2005,"High Seas","IW","Fleet_catch_in_national_waters_of_FFA_members",0
2006,"High Seas","IW","Fleet_catch_in_national_waters_of_FFA_members",0
2007,"High Seas","IW","Fleet_catch_in_national_waters_of_FFA_members",0
2008,"High Seas","IW","Fleet_catch_in_national_waters_of_FFA_members",0
2009,"High Seas","IW","Fleet_catch_in_national_waters_of_FFA_members",0
2010,"High Seas","IW","Fleet_catch_in_national_waters_of_FFA_members",0
2011,"High Seas","IW","Fleet_catch_in_national_waters_of_FFA_members",0
2012,"High Seas","IW","Fleet_catch_in_national_waters_of_FFA_members",0
2013,"High Seas","IW","Fleet_catch_in_national_waters_of_FFA_members",0
2014,"High Seas","IW","Fleet_catch_in_national_waters_of_FFA_members",0
2015,"High Seas","IW","Fleet_catch_in_national_waters_of_FFA_members",0
2016,"High Seas","IW","Fleet_catch_in_national_waters_of_FFA_members",0
2017,"High Seas","IW","Fleet_catch_in_national_waters_of_FFA_members",0
2018,"High Seas","IW","Fleet_catch_in_national_waters_of_FFA_members",0
2019,"High Seas","IW","Fleet_catch_in_national_waters_of_FFA_members",0
2020,"High Seas","IW","Fleet_catch_in_national_waters_of_FFA_members",0
2021,"High Seas","IW","Fleet_catch_in_national_waters_of_FFA_members",0
2022,"High Seas","IW","Fleet_catch_in_national_waters_of_FFA_members",0
2023,"High Seas","IW","Fleet_catch_in_national_waters_of_FFA_members",0
1997,"Non-PNA Member","Japan","Fleet_catch_in_national_waters_of_FFA_members",-35961
1998,"Non-PNA Member","Japan","Fleet_catch_in_national_waters_of_FFA_members",-22127
1999,"Non-PNA Member","Japan","Fleet_catch_in_national_waters_of_FFA_members",-27933
2000,"Non-PNA Member","Japan","Fleet_catch_in_national_waters_of_FFA_members",-32351
2001,"Non-PNA Member","Japan","Fleet_catch_in_national_waters_of_FFA_members",53608
2002,"Non-PNA Member","Japan","Fleet_catch_in_national_waters_of_FFA_members",59921
2003,"Non-PNA Member","Japan","Fleet_catch_in_national_waters_of_FFA_members",43701
2004,"Non-PNA Member","Japan","Fleet_catch_in_national_waters_of_FFA_members",2032
2005,"Non-PNA Member","Japan","Fleet_catch_in_national_waters_of_FFA_members",16661
2006,"Non-PNA Member","Japan","Fleet_catch_in_national_waters_of_FFA_members",42028
2007,"Non-PNA Member","Japan","Fleet_catch_in_national_waters_of_FFA_members",14902
2008,"Non-PNA Member","Japan","Fleet_catch_in_national_waters_of_FFA_members",65877
2009,"Non-PNA Member","Japan","Fleet_catch_in_national_waters_of_FFA_members",46409
2010,"Non-PNA Member","Japan","Fleet_catch_in_national_waters_of_FFA_members",133600
2011,"Non-PNA Member","Japan","Fleet_catch_in_national_waters_of_FFA_members",106839
2012,"Non-PNA Member","Japan","Fleet_catch_in_national_waters_of_FFA_members",138846
2013,"Non-PNA Member","Japan","Fleet_catch_in_national_waters_of_FFA_members",93010
2014,"Non-PNA Member","Japan","Fleet_catch_in_national_waters_of_FFA_members",105147
2015,"Non-PNA Member","Japan","Fleet_catch_in_national_waters_of_FFA_members",69020
2016,"Non-PNA Member","Japan","Fleet_catch_in_national_waters_of_FFA_members",89446
2017,"Non-PNA Member","Japan","Fleet_catch_in_national_waters_of_FFA_members",73502
2018,"Non-PNA Member","Japan","Fleet_catch_in_national_waters_of_FFA_members",86809
2019,"Non-PNA Member","Japan","Fleet_catch_in_national_waters_of_FFA_members",109021
2020,"Non-PNA Member","Japan","Fleet_catch_in_national_waters_of_FFA_members",86414
2021,"Non-PNA Member","Japan","Fleet_catch_in_national_waters_of_FFA_members",61710
2022,"Non-PNA Member","Japan","Fleet_catch_in_national_waters_of_FFA_members",82233
2023,"Non-PNA Member","Japan","Fleet_catch_in_national_waters_of_FFA_members",53114
1997,"PNA Member","Kiribati","Fleet_catch_in_national_waters_of_FFA_members",2752
1998,"PNA Member","Kiribati","Fleet_catch_in_national_waters_of_FFA_members",4347
1999,"PNA Member","Kiribati","Fleet_catch_in_national_waters_of_FFA_members",5307
2000,"PNA Member","Kiribati","Fleet_catch_in_national_waters_of_FFA_members",4127
2001,"PNA Member","Kiribati","Fleet_catch_in_national_waters_of_FFA_members",2948
2002,"PNA Member","Kiribati","Fleet_catch_in_national_waters_of_FFA_members",2954
2003,"PNA Member","Kiribati","Fleet_catch_in_national_waters_of_FFA_members",3223
2004,"PNA Member","Kiribati","Fleet_catch_in_national_waters_of_FFA_members",3825
2005,"PNA Member","Kiribati","Fleet_catch_in_national_waters_of_FFA_members",5530
2006,"PNA Member","Kiribati","Fleet_catch_in_national_waters_of_FFA_members",3128
2007,"PNA Member","Kiribati","Fleet_catch_in_national_waters_of_FFA_members",3996
2008,"PNA Member","Kiribati","Fleet_catch_in_national_waters_of_FFA_members",6211
2009,"PNA Member","Kiribati","Fleet_catch_in_national_waters_of_FFA_members",8566
2010,"PNA Member","Kiribati","Fleet_catch_in_national_waters_of_FFA_members",13713
2011,"PNA Member","Kiribati","Fleet_catch_in_national_waters_of_FFA_members",22551
2012,"PNA Member","Kiribati","Fleet_catch_in_national_waters_of_FFA_members",25243
2013,"PNA Member","Kiribati","Fleet_catch_in_national_waters_of_FFA_members",45962
2014,"PNA Member","Kiribati","Fleet_catch_in_national_waters_of_FFA_members",24353
2015,"PNA Member","Kiribati","Fleet_catch_in_national_waters_of_FFA_members",15257
2016,"PNA Member","Kiribati","Fleet_catch_in_national_waters_of_FFA_members",54934
2017,"PNA Member","Kiribati","Fleet_catch_in_national_waters_of_FFA_members",41245
2018,"PNA Member","Kiribati","Fleet_catch_in_national_waters_of_FFA_members",50619
2019,"PNA Member","Kiribati","Fleet_catch_in_national_waters_of_FFA_members",31405
2020,"PNA Member","Kiribati","Fleet_catch_in_national_waters_of_FFA_members",47542
2021,"PNA Member","Kiribati","Fleet_catch_in_national_waters_of_FFA_members",50417
2022,"PNA Member","Kiribati","Fleet_catch_in_national_waters_of_FFA_members",73922
2023,"PNA Member","Kiribati","Fleet_catch_in_national_waters_of_FFA_members",33055
1997,"Non-PNA Member","Korea","Fleet_catch_in_national_waters_of_FFA_members",124567
1998,"Non-PNA Member","Korea","Fleet_catch_in_national_waters_of_FFA_members",159777
1999,"Non-PNA Member","Korea","Fleet_catch_in_national_waters_of_FFA_members",99540
2000,"Non-PNA Member","Korea","Fleet_catch_in_national_waters_of_FFA_members",159209
2001,"Non-PNA Member","Korea","Fleet_catch_in_national_waters_of_FFA_members",150779
2002,"Non-PNA Member","Korea","Fleet_catch_in_national_waters_of_FFA_members",179306
2003,"Non-PNA Member","Korea","Fleet_catch_in_national_waters_of_FFA_members",162164
2004,"Non-PNA Member","Korea","Fleet_catch_in_national_waters_of_FFA_members",165826
2005,"Non-PNA Member","Korea","Fleet_catch_in_national_waters_of_FFA_members",174070
2006,"Non-PNA Member","Korea","Fleet_catch_in_national_waters_of_FFA_members",239691
2007,"Non-PNA Member","Korea","Fleet_catch_in_national_waters_of_FFA_members",223336
2008,"Non-PNA Member","Korea","Fleet_catch_in_national_waters_of_FFA_members",209998
2009,"Non-PNA Member","Korea","Fleet_catch_in_national_waters_of_FFA_members",219606
2010,"Non-PNA Member","Korea","Fleet_catch_in_national_waters_of_FFA_members",278145
2011,"Non-PNA Member","Korea","Fleet_catch_in_national_waters_of_FFA_members",213556
2012,"Non-PNA Member","Korea","Fleet_catch_in_national_waters_of_FFA_members",269640
2013,"Non-PNA Member","Korea","Fleet_catch_in_national_waters_of_FFA_members",230614
2014,"Non-PNA Member","Korea","Fleet_catch_in_national_waters_of_FFA_members",273292
2015,"Non-PNA Member","Korea","Fleet_catch_in_national_waters_of_FFA_members",269219
2016,"Non-PNA Member","Korea","Fleet_catch_in_national_waters_of_FFA_members",272449
2017,"Non-PNA Member","Korea","Fleet_catch_in_national_waters_of_FFA_members",243157
2018,"Non-PNA Member","Korea","Fleet_catch_in_national_waters_of_FFA_members",260586
2019,"Non-PNA Member","Korea","Fleet_catch_in_national_waters_of_FFA_members",305110
2020,"Non-PNA Member","Korea","Fleet_catch_in_national_waters_of_FFA_members",243554
2021,"Non-PNA Member","Korea","Fleet_catch_in_national_waters_of_FFA_members",225310
2022,"Non-PNA Member","Korea","Fleet_catch_in_national_waters_of_FFA_members",227381
2023,"Non-PNA Member","Korea","Fleet_catch_in_national_waters_of_FFA_members",226718
1997,"PNA Member","Marshall Islands","Fleet_catch_in_national_waters_of_FFA_members",0
1998,"PNA Member","Marshall Islands","Fleet_catch_in_national_waters_of_FFA_members",0
1999,"PNA Member","Marshall Islands","Fleet_catch_in_national_waters_of_FFA_members",0
2000,"PNA Member","Marshall Islands","Fleet_catch_in_national_waters_of_FFA_members",5641
2001,"PNA Member","Marshall Islands","Fleet_catch_in_national_waters_of_FFA_members",25082
2002,"PNA Member","Marshall Islands","Fleet_catch_in_national_waters_of_FFA_members",30617
2003,"PNA Member","Marshall Islands","Fleet_catch_in_national_waters_of_FFA_members",24968
2004,"PNA Member","Marshall Islands","Fleet_catch_in_national_waters_of_FFA_members",28681
2005,"PNA Member","Marshall Islands","Fleet_catch_in_national_waters_of_FFA_members",34071
2006,"PNA Member","Marshall Islands","Fleet_catch_in_national_waters_of_FFA_members",34834
2007,"PNA Member","Marshall Islands","Fleet_catch_in_national_waters_of_FFA_members",44903
2008,"PNA Member","Marshall Islands","Fleet_catch_in_national_waters_of_FFA_members",19935
2009,"PNA Member","Marshall Islands","Fleet_catch_in_national_waters_of_FFA_members",32120
2010,"PNA Member","Marshall Islands","Fleet_catch_in_national_waters_of_FFA_members",50253
2011,"PNA Member","Marshall Islands","Fleet_catch_in_national_waters_of_FFA_members",83741
2012,"PNA Member","Marshall Islands","Fleet_catch_in_national_waters_of_FFA_members",60814
2013,"PNA Member","Marshall Islands","Fleet_catch_in_national_waters_of_FFA_members",64337
2014,"PNA Member","Marshall Islands","Fleet_catch_in_national_waters_of_FFA_members",61827
2015,"PNA Member","Marshall Islands","Fleet_catch_in_national_waters_of_FFA_members",50917
2016,"PNA Member","Marshall Islands","Fleet_catch_in_national_waters_of_FFA_members",39626
2017,"PNA Member","Marshall Islands","Fleet_catch_in_national_waters_of_FFA_members",35449
2018,"PNA Member","Marshall Islands","Fleet_catch_in_national_waters_of_FFA_members",56279
2019,"PNA Member","Marshall Islands","Fleet_catch_in_national_waters_of_FFA_members",52344
2020,"PNA Member","Marshall Islands","Fleet_catch_in_national_waters_of_FFA_members",49765
2021,"PNA Member","Marshall Islands","Fleet_catch_in_national_waters_of_FFA_members",58265
2022,"PNA Member","Marshall Islands","Fleet_catch_in_national_waters_of_FFA_members",61874
2023,"PNA Member","Marshall Islands","Fleet_catch_in_national_waters_of_FFA_members",41227
1997,"Non-PNA Member","Mathew and Hunter","Fleet_catch_in_national_waters_of_FFA_members",0
1998,"Non-PNA Member","Mathew and Hunter","Fleet_catch_in_national_waters_of_FFA_members",0
1999,"Non-PNA Member","Mathew and Hunter","Fleet_catch_in_national_waters_of_FFA_members",0
2000,"Non-PNA Member","Mathew and Hunter","Fleet_catch_in_national_waters_of_FFA_members",0
2001,"Non-PNA Member","Mathew and Hunter","Fleet_catch_in_national_waters_of_FFA_members",0
2002,"Non-PNA Member","Mathew and Hunter","Fleet_catch_in_national_waters_of_FFA_members",0
