STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,FREQ,Frequency,CURRENCY,Currency,GEO_PICT,Pacific Island Countries and territories,INDICATOR,Indicator,TIME_PERIOD,Time,OBS_VALUE,Observation value,UNIT_MEASURE,Unit of measure,UNIT_MULT,Unit multiplier,OBS_STATUS,Observation Status,DATA_SOURCE,Data source,OBS_COMMENT,Comment
DATAFLOW,SPC:DF_NATIONAL_ACCOUNTS(1.0),Gross Domestic Product for Pacific Island Countries and Territories,I,A,Annual,USD,US Dollar,TV,Tuvalu,GDPC,"Gross Domestic Product, current prices",2014,,36782,,USD,USD,3,thousands,,,,,Converted 0.9014 AUD/USD,
DATAFLOW,SPC:DF_NATIONAL_ACCOUNTS(1.0),Gross Domestic Product for Pacific Island Countries and Territories,I,A,Annual,USD,US Dollar,TV,Tuvalu,GDPC,"Gross Domestic Product, current prices",2015,,35040,,USD,USD,3,thousands,,,,,Converted 0.7513 AUD/USD,
DATAFLOW,SPC:DF_NATIONAL_ACCOUNTS(1.0),Gross Domestic Product for Pacific Island Countries and Territories,I,A,Annual,USD,US Dollar,TV,Tuvalu,GDPC,"Gross Domestic Product, current prices",2016,,41295,,USD,USD,3,thousands,,,,,Converted 0.7434 AUD/USD,
DATAFLOW,SPC:DF_NATIONAL_ACCOUNTS(1.0),Gross Domestic Product for Pacific Island Countries and Territories,I,A,Annual,USD,US Dollar,TV,Tuvalu,GDPC,"Gross Domestic Product, current prices",2017,,45275,,USD,USD,3,thousands,,,,,Converted 0.7664 AUD/USD,
DATAFLOW,SPC:DF_NATIONAL_ACCOUNTS(1.0),Gross Domestic Product for Pacific Island Countries and Territories,I,A,Annual,USD,US Dollar,TV,Tuvalu,GDPC,"Gross Domestic Product, current prices",2018,,48018,,USD,USD,3,thousands,,,,,Converted 0.7472 AUD/USD,
DATAFLOW,SPC:DF_NATIONAL_ACCOUNTS(1.0),Gross Domestic Product for Pacific Island Countries and Territories,I,A,Annual,USD,US Dollar,TV,Tuvalu,GDPC,"Gross Domestic Product, current prices",2019,,54126,,USD,USD,3,thousands,,,,,Converted 0.6952 AUD/USD,
DATAFLOW,SPC:DF_NATIONAL_ACCOUNTS(1.0),Gross Domestic Product for Pacific Island Countries and Territories,I,A,Annual,USD,US Dollar,TV,Tuvalu,GDPC,"Gross Domestic Product, current prices",2020,,51232,,USD,USD,3,thousands,,,,,Converted 0.6882 AUD/USD,
DATAFLOW,SPC:DF_NATIONAL_ACCOUNTS(1.0),Gross Domestic Product for Pacific Island Countries and Territories,I,A,Annual,USD,US Dollar,TV,Tuvalu,GDPC,"Gross Domestic Product, current prices",2021,,59539,,USD,USD,3,thousands,,,,,Converted 0.7512 AUD/USD,
DATAFLOW,SPC:DF_NATIONAL_ACCOUNTS(1.0),Gross Domestic Product for Pacific Island Countries and Territories,I,A,Annual,DOM,Domestic currency,CK,Cook Islands,GDPC,"Gross Domestic Product, current prices",2005,,259282,,NZD,New Zealand Dollar,3,thousands,,,,,,
DATAFLOW,SPC:DF_NATIONAL_ACCOUNTS(1.0),Gross Domestic Product for Pacific Island Countries and Territories,I,A,Annual,DOM,Domestic currency,CK,Cook Islands,GDPC,"Gross Domestic Product, current prices",2006,,289680,,NZD,New Zealand Dollar,3,thousands,,,,,,
DATAFLOW,SPC:DF_NATIONAL_ACCOUNTS(1.0),Gross Domestic Product for Pacific Island Countries and Territories,I,A,Annual,DOM,Domestic currency,CK,Cook Islands,GDPC,"Gross Domestic Product, current prices",2007,,310146,,NZD,New Zealand Dollar,3,thousands,,,,,,
DATAFLOW,SPC:DF_NATIONAL_ACCOUNTS(1.0),Gross Domestic Product for Pacific Island Countries and Territories,I,A,Annual,DOM,Domestic currency,CK,Cook Islands,GDPC,"Gross Domestic Product, current prices",2008,,332119,,NZD,New Zealand Dollar,3,thousands,,,,,,
DATAFLOW,SPC:DF_NATIONAL_ACCOUNTS(1.0),Gross Domestic Product for Pacific Island Countries and Territories,I,A,Annual,DOM,Domestic currency,CK,Cook Islands,GDPC,"Gross Domestic Product, current prices",2009,,330486,,NZD,New Zealand Dollar,3,thousands,,,,,,
DATAFLOW,SPC:DF_NATIONAL_ACCOUNTS(1.0),Gross Domestic Product for Pacific Island Countries and Territories,I,A,Annual,DOM,Domestic currency,CK,Cook Islands,GDPC,"Gross Domestic Product, current prices",2010,,346399,,NZD,New Zealand Dollar,3,thousands,,,,,,
DATAFLOW,SPC:DF_NATIONAL_ACCOUNTS(1.0),Gross Domestic Product for Pacific Island Countries and Territories,I,A,Annual,DOM,Domestic currency,CK,Cook Islands,GDPC,"Gross Domestic Product, current prices",2011,,357491,,NZD,New Zealand Dollar,3,thousands,,,,,,
DATAFLOW,SPC:DF_NATIONAL_ACCOUNTS(1.0),Gross Domestic Product for Pacific Island Countries and Territories,I,A,Annual,DOM,Domestic currency,CK,Cook Islands,GDPC,"Gross Domestic Product, current prices",2012,,372854,,NZD,New Zealand Dollar,3,thousands,,,,,,
DATAFLOW,SPC:DF_NATIONAL_ACCOUNTS(1.0),Gross Domestic Product for Pacific Island Countries and Territories,I,A,Annual,DOM,Domestic currency,CK,Cook Islands,GDPC,"Gross Domestic Product, current prices",2013,,367719,,NZD,New Zealand Dollar,3,thousands,,,,,,
DATAFLOW,SPC:DF_NATIONAL_ACCOUNTS(1.0),Gross Domestic Product for Pacific Island Countries and Territories,I,A,Annual,DOM,Domestic currency,CK,Cook Islands,GDPC,"Gross Domestic Product, current prices",2014,,380856,,NZD,New Zealand Dollar,3,thousands,,,,,,
DATAFLOW,SPC:DF_NATIONAL_ACCOUNTS(1.0),Gross Domestic Product for Pacific Island Countries and Territories,I,A,Annual,DOM,Domestic currency,CK,Cook Islands,GDPC,"Gross Domestic Product, current prices",2015,,409420,,NZD,New Zealand Dollar,3,thousands,,,,,,
