"Species","reporter_desc","Year","flow_desc","Total_Gross_Wgt","Total_Net_Wgt","Total_Domestic_Currency_FOBValue","Total_Domestic_Currency_CIFValue","Total_Domestic_Currency_PrimaryValue","Domestic_Price"
"Albacore","Ethiopia",2012,"Import",0,5.45,0,7933.14600924218,0.000452014,82.9383486238532
"Tuna N.E.C","Finland",2012,"Export",0,0,10,0,1.2789e-05,Inf
"Yellow Fin","Ghana",2012,"Import",0,34608.71,0,113463.911079379,0.061149594,1.76688452126647
"Tuna N.E.C","Greenland",2012,"Import",0,250,0,2231.34,0.00223134,8.92536
"Albacore","Grenada",2012,"Import",0,12,0,100,3.7037e-05,3.08641666666667
"Albacore","Guyana",2012,"Export",0,11.34,4080.068978481,0,1.9969e-05,1.76093474426808
"Albacore","Côte d'Ivoire",2012,"Import",0,77690,0,33496558.1995119,0.064999522,0.836652361951345
"Blue Fin","Latvia",2012,"Import",0,2670,0,6841.00119683966,0.012312263,4.61133445692884
"Tuna N.E.C","Malawi",2012,"Import",0,1322,0,416106.02128921,0.001554325,1.17573751891074
"Albacore","Mexico",2012,"Import",0,24498.94,0,94195,0.094195,3.84486022660572
"Big Eye","Philippines",2012,"Import",0,663032,0,670330,0.67033,1.01100701021972
"Tuna N.E.C","Slovakia",2012,"Import",0,51,380.999592029259,380.999592029259,0.000483053,9.47162745098039
"Albacore","Slovakia",2012,"Export",0,36.277,158.999921807804,0,0.000203345,5.60534222785787
"Tuna N.E.C","North Macedonia",2012,"Import",0,48,0,152.53,0.00015253,3.17770833333333
"Tuna N.E.C","Egypt",2012,"Import",0,0,0,5074460.62346943,0.838320083,Inf
"Yellow Fin","Egypt",2012,"Export",0,0,64784.0862056293,0,0.010651062,Inf
"Tuna N.E.C","United Kingdom",2012,"Import",0,16547,0,35371.0001847255,0.056689063,3.42594204387502
"Big Eye","Yemen",2012,"Export",0,3000,1854000,0,0.008671158,2.890386
"Blue Fin","Yemen",2012,"Import",0,26725,0,6296064.99893094,0.029446696,1.10184082319925
"Blue Fin","Botswana",2012,"Import",0,86.69,0,2557.99768890209,0.000373534,4.30884761794901
"Yellow Fin","Dominican Rep.",2012,"Import",0,0,0,68313.202,0.068313202,Inf
"Blue Fin","Malaysia",2012,"Import",0,601.9,0,28431.9999606758,0.009091668,15.1049476657252
"Tuna N.E.C","Malta",2012,"Import",0,400,0,940,0.001177444,2.94361
"Blue Fin","Mexico",2012,"Import",0,179.69,0,7220,0.00722,40.1803105348099
"Tuna N.E.C","Montenegro",2012,"Import",0,50,0,279.500239501836,0.000350102,7.00204
"Albacore","Montenegro",2012,"Import",0,225,0,1260,0.001567692,6.96752
"Tuna N.E.C","Mozambique",2012,"Import",0,5620,0,12940,0.01294,2.30249110320285
"Albacore","Netherlands",2012,"Import",0,60,0,622.000311817898,0.000791862,13.1977
"Albacore","Norway",2012,"Export",0,674,40440.0016855996,0,0.00671761,9.96678041543027
"Blue Fin","Singapore",2012,"Export",0,60,4775,0,0.004775,79.5833333333333
"Blue Fin","Trinidad and Tobago",2012,"Export",0,31455,3055000,0,0.474396455,15.0817502781752
"Tuna N.E.C","Türkiye",2012,"Import",0,3384,0,11541,0.011541,3.4104609929078
"Albacore","North Macedonia",2012,"Import",0,5,0,23.23,2.323e-05,4.646
"Yellow Fin","Uruguay",2012,"Import",0,5700,0,44710,0.04471,7.84385964912281
"Albacore","Botswana",2012,"Import",0,6,0,328.000523252011,5.0148e-05,8.358
"Big Eye","Cameroon",2012,"Import",0,28000,0,21301999.8077621,0.039891829,1.42470817857143
"Tuna N.E.C","China",2012,"Import",0,46165,0,116741,0.116741,2.52877721217372
"Albacore","Cyprus",2012,"Import",0,1500,0,15790.0003111194,0.019825654,13.2171026666667
"Albacore","Estonia",2012,"Import",0,0,0,250,0.0003071,Inf
"Tuna N.E.C","Estonia",2012,"Export",0,100,550,0,0.00067562,6.7562
"Big Eye","Greece",2012,"Export",0,4600,9230,0,0.011519884,2.50432260869565
"Yellow Fin","Iceland",2012,"Import",0,557,0,1100961.0374573,0.008747774,15.7051597845601
"Albacore","Ireland",2012,"Export",0,2316290,5883226.99966783,0,7.317027625,3.15894280293055
"Albacore","Malawi",2012,"Import",0,30,0,39399.9473493698,0.000143679,4.7893
"Yellow Fin","Malaysia",2012,"Export",0,72107.1,259442.002320098,0,0.083576638,1.1590625333705
"Tuna N.E.C","New Caledonia",2012,"Export",0,1233,1034599.98123299,0,0.011085528,8.99069586374696
"Tuna N.E.C","Philippines",2012,"Export",0,7796,186959,0,0.186959,23.9814007183171
"Tuna N.E.C","Romania",2012,"Export",0,241,237.97,0,0.00023797,0.987427385892116
"Albacore","Senegal",2012,"Export",0,8400,5564000,0,0.010421372,1.24063952380952
"Blue Fin","Eswatini",2012,"Import",0,25351.02,0,392769.391059613,0.047607498,1.87793224887993
"Albacore","Uruguay",2012,"Import",0,900,0,845.78,0.00084578,0.939755555555556
"Big Eye","Uruguay",2012,"Export",0,1052.9,14305,0,0.014305,13.5862854971982
"Tuna N.E.C","Zambia",2012,"Import",0,4874.755,0,56350.5967206873,0.011282764,2.31452944814663
"Blue Fin","China",2012,"Export",0,10647,145579,0,0.145579,13.6732412886259
"Albacore","Dominica",2012,"Import",0,0,0,183.041283041283,6.7793e-05,Inf
"Tuna N.E.C","Hungary",2012,"Import",0,900,0,2040,0.0025296,2.81066666666667
"Yellow Fin","Ireland",2012,"Export",0,704056,1784488.00043557,0,2.292451497,3.25606414404536
"Blue Fin","Ireland",2012,"Export",0,36925,92239.0002488955,0,0.116323516,3.15026448205823
"Blue Fin","Israel",2012,"Import",0,0,0,23000,0.023,Inf
"Tuna N.E.C","Israel",2012,"Export",0,0,1000,0,0.001,Inf
"Albacore","Malaysia",2012,"Import",0,250471.9,0,643290.00119826,0.206465909,0.824307672836753
"Albacore","Malaysia",2012,"Export",0,325500,976500,0,0.313265106,0.962412
"Tuna N.E.C","Pakistan",2012,"Import",0,25,0,4981.01348314466,5.2645e-05,2.1058
"Tuna N.E.C","Panama",2012,"Import",1014,945,0,3619,0.003619,3.82962962962963
"Yellow Fin","North Macedonia",2012,"Import",0,126,0,433.11,0.00043311,3.43738095238095
"Big Eye","Bulgaria",2012,"Import",0,951,0,6693.00157975422,0.004417315,4.64491587802313
"Tuna N.E.C","Belarus",2012,"Import",0,20010,0,38100,0.0381,1.90404797601199
"Albacore","Czechia",2012,"Export",0,100,1630.0001555597,0,0.002136575,21.36575
"Albacore","El Salvador",2012,"Import",0,22501,0,64611.16,0.06461116,2.87147948980045
"Blue Fin","Finland",2012,"Import",0,300,0,3539.9998444403,0.004551307,15.1710233333333
"Albacore","Finland",2012,"Export",0,0,350,0,0.000449988,Inf
"Albacore","Grenada",2012,"Export",0,18272,545054.999054999,0,0.20187202,11.0481622154116
"Tuna N.E.C","Côte d'Ivoire",2012,"Export",0,22,58380.1020408163,0,0.000114425,5.20113636363636
"Yellow Fin","Lesotho",2012,"Import",1,1,0,864.000463399699,0.000104411,104.411
"Blue Fin","Lithuania",2012,"Export",0,15,78,0,7.8e-05,5.2
"Big Eye","Lithuania",2012,"Import",0,4406,0,31719,0.031719,7.19904675442578
"Blue Fin","Malaysia",2012,"Export",0,225.6,3271.00113123915,0,0.001061188,4.7038475177305
"Albacore","Mozambique",2012,"Import",0,600,0,1610,0.00161,2.68333333333333
"Albacore","Slovakia",2012,"Import",0,79543,22749.9995167522,22749.9995167522,0.029391309,0.369502143494714
"Albacore","Türkiye",2012,"Import",0,27000,0,108587,0.108587,4.02174074074074
"Tuna N.E.C","Türkiye",2012,"Export",0,384,8981,0,0.008981,23.3880208333333
"Blue Fin","Armenia",2012,"Import",0,60,0,580.75,0.00058075,9.67916666666667
"Tuna N.E.C","Bulgaria",2012,"Export",0,17016,68031.0004212792,0,0.045236197,2.65845069346497
"Blue Fin","Bulgaria",2012,"Import",0,1464,0,10286.9993216251,0.006823881,4.66112090163934
"Big Eye","Estonia",2012,"Import",0,200,0,930,0.001206582,6.03291
"Blue Fin","Estonia",2012,"Import",0,4100,0,25650,0.03327831,8.11666097560976
"Tuna N.E.C","Georgia",2012,"Export",0,18,300,0,3e-04,16.6666666666667
"Tuna N.E.C","Iceland",2012,"Export",0,2182,7301696.94391843,0,0.065097479,29.8338583868011
"Big Eye","Lithuania",2012,"Export",0,1126,8589,0,0.008589,7.62788632326821
"Blue Fin","Philippines",2012,"Export",0,7600,192368,0,0.192368,25.3115789473684
"Albacore","Qatar",2012,"Import",0,23600,0,87006.1698061698,0.02390277,1.01282923728814
"Big Eye","India",2012,"Export",0,48168,4412733.01871785,0,0.083219732,1.72769747550241
"Albacore","Egypt",2012,"Import",0,0,0,1224.61175210555,0.000201238,Inf
"Yellow Fin","Botswana",2012,"Export",0,60,93.9981724847521,0,1.2653e-05,0.210883333333333
"Albacore","Brunei Darussalam",2012,"Import",0,0,0,775.100553371603,0.000634387,Inf
"Big Eye","Ghana",2012,"Export",0,179837,1015672.95995947,0,0.54093753,3.00793234985014
"Yellow Fin","Grenada",2012,"Import",0,5,0,146.998946998947,5.4444e-05,10.8888
"Albacore","Peru",2012,"Export",0,27090,91913.66,0,0.09191366,3.39289996308601
"Albacore","Ukraine",2012,"Export",0,85,635.38,0,0.00063538,7.47505882352941
"Tuna N.E.C","Bolivia (Plurinational State of)",2012,"Import",0,408,430.71,430.75,0.00043075,1.05575980392157
"Albacore","Croatia",2012,"Import",0,18,0,898,0.000898,49.8888888888889
"Blue Fin","Cyprus",2012,"Import",0,0,0,270,0.000356238,Inf
"Tuna N.E.C","Indonesia",2012,"Export",0,2128405,7527487,0,7.527487,3.53667981422709
"Yellow Fin","Indonesia",2012,"Export",0,2657151,10632746,0,10.632746,4.0015588124273
"Big Eye","Indonesia",2012,"Export",0,726937,2064305,0,2.064305,2.8397302654838
"Blue Fin","Indonesia",2012,"Export",0,50260,293746,0,0.293746,5.84452845204934
"Yellow Fin","Indonesia",2012,"Import",0,14585,0,51464,0.051464,3.52855673637299
"Albacore","Indonesia",2012,"Import",0,24599,0,80951,0.080951,3.29082483027765
"Albacore","Indonesia",2012,"Export",0,54199,114701,0,0.114701,2.11629365855459
"Yellow Fin","Lithuania",2012,"Export",0,126,1260,0,0.00126,10
"Albacore","Norway",2012,"Import",0,660,0,96949.9974799939,0.017312458,26.230996969697
"Yellow Fin","Pakistan",2012,"Export",0,300,125699.984433981,0,0.001292045,4.30681666666667
"Albacore","Seychelles",2012,"Export",0,20,1029.23808903083,0,7.8958e-05,3.9479
"Yellow Fin","India",2012,"Import",0,26000,0,4036694.02699601,0.073867464,2.84105630769231
"Albacore","Algeria",2013,"Import",0,2063440,0,4664450.933,4.664450933,2.26052171761718
"Tuna N.E.C","Andorra",2013,"Import",0,13536.25,0,119226.599129887,0.158350939,11.6982871179241
"Albacore","Andorra",2013,"Import",0,482.82,0,2985.14003263362,0.003985038,8.2536721759662
"Yellow Fin","Antigua and Barbuda",2013,"Import",0,10132.01,0,146261.705861706,0.054170948,5.34651544955048
"Yellow Fin","Argentina",2013,"Import",0,40315,0,541431.55,0.54143155,13.4300272851296
"Big Eye","Australia",2013,"Import",0,4066.6,0,63046.2290032923,0.065322763,16.0632378399646
"Yellow Fin","Australia",2013,"Export",0,284787.55,2525897.00100233,0,2.395367381,8.41106776261813
"Yellow Fin","Australia",2013,"Import",0,147185.91,0,1622974.08313638,1.580923107,10.7409948887091
"Albacore","Australia",2013,"Import",0,4286.11,0,23892.8201568295,0.02365185,5.51825548107725
"Big Eye","Australia",2013,"Export",0,496423.28,3315126.99944338,0,3.175249921,6.39625506885978
"Tuna N.E.C","Austria",2013,"Import",0,7200,0,158939.999922907,0.21239193,29.4988791666667
"Yellow Fin","Austria",2013,"Export",0,0,11080.0003667485,0,0.014719109,Inf
"Yellow Fin","Austria",2013,"Import",0,35600,0,652070.000904141,0.866332892,24.3351935955056
"Tuna N.E.C","Austria",2013,"Export",0,100,3630.00029377866,0,0.004850651,48.50651
"Blue Fin","Austria",2013,"Import",0,83000,0,970240.00051876,1.291756603,15.5633325662651
"Big Eye","Austria",2013,"Import",0,4800,0,81180.0005928404,0.107297707,22.3536889583333
"Albacore","Austria",2013,"Export",0,1300,3820.00103329928,0,0.005068333,3.89871769230769
"Blue Fin","Austria",2013,"Export",0,1000,20599.9995500396,0,0.027356485,27.356485
"Albacore","Austria",2013,"Import",0,19700,0,160419.9990871,0.21077513,10.699245177665
"Albacore","Armenia",2013,"Import",0,193620,0,96325.24,0.09632524,0.497496333023448
"Yellow Fin","Armenia",2013,"Import",0,104.24,0,3081.18,0.00308118,29.5585188027629
"Tuna N.E.C","Belgium",2013,"Import",0,340579.39,0,2691723.96846693,3.578904457,10.5082825387643
"Yellow Fin","Belgium",2013,"Import",0,212689.79,0,2418520.9881546,3.205619683,15.0718080214382
"Albacore","Belgium",2013,"Import",0,671357.79,0,3518796.17949402,4.668893337,6.95440405480363
"Tuna N.E.C","Belgium",2013,"Export",0,45167.28,220132.810866772,0,0.297136551,6.57857969308756
"Blue Fin","Belgium",2013,"Import",0,134544.15,0,1193894.60449406,1.585630862,11.7852085133393
"Albacore","Belgium",2013,"Export",0,16813.22,62875.4700477618,0,0.083569949,4.97049042360714
"Big Eye","Belgium",2013,"Import",0,2558.83,0,35685.1599289733,0.047249296,18.4651954213449
"Big Eye","Belgium",2013,"Export",0,10.29,159.150116660417,0,0.000210834,20.4892128279883
"Yellow Fin","Belgium",2013,"Export",0,8594.562,129620.881558477,0,0.172039719,20.0172759240087
"Tuna N.E.C","Botswana",2013,"Import",0,1504.39,0,46869.9982877394,0.005519612,3.66900338343116
"Tuna N.E.C","Botswana",2013,"Export",0,218,2149.99831028302,0,0.000256485,1.17653669724771
"Tuna N.E.C","Brazil",2013,"Export",0,272273,2051456,0,2.051456,7.53455539109644
"Big Eye","Brazil",2013,"Export",0,255921,2508664,0,2.508664,9.80249373830205
"Yellow Fin","Brazil",2013,"Export",0,314454,1703326,0,1.703326,5.41677320053171
"Tuna N.E.C","Brunei Darussalam",2013,"Import",0,28178.95,0,140644.41018751,0.112282962,3.98463966897276
"Blue Fin","Brunei Darussalam",2013,"Export",0,1e+05,250000.000619081,0,0.201816563,2.01816563
"Yellow Fin","Brunei Darussalam",2013,"Import",0,6939.03,0,16558.1393278365,0.01346779,1.94087502143671
"Yellow Fin","Bulgaria",2013,"Import",0,109559,0,249408.000034176,0.331167455,3.02273163318395
"Blue Fin","Bulgaria",2013,"Import",0,3410,0,14554.9994108954,0.017943356,5.26198123167156
"Albacore","Bulgaria",2013,"Import",0,38140,0,144119.001825063,0.153773863,4.03182650760357
"Tuna N.E.C","Bulgaria",2013,"Export",0,15974,71114.0009622797,0,0.066828931,4.18360654814073
"Yellow Fin","Bulgaria",2013,"Export",0,193,2305.99939349509,0,0.00156647,8.11642487046632
"Tuna N.E.C","Bulgaria",2013,"Import",0,29960,0,69002.0002353013,0.089484731,2.98680677570093
"Tuna N.E.C","Myanmar",2013,"Export",0,11488252.45,26685436.153,0,26.685436153,2.32284555628824
"Albacore","Cameroon",2013,"Export",0,7800,3160000,0,0.00632696,0.811148717948718
"Tuna N.E.C","Cameroon",2013,"Export",0,1325750,468122000,0,0.94913549,0.715923432019612
"Tuna N.E.C","Cameroon",2013,"Import",0,2986561,0,1429517741.55426,2.875707511,0.962882563255866
"Albacore","Canada",2013,"Import",0,5134978,23920023.9959909,0,23.076704863,4.49402214829353
"Big Eye","Canada",2013,"Import",0,684275,10593428.9978048,0,10.294308578,15.044110303606
"Yellow Fin","Canada",2013,"Import",0,764359,10230858.9953295,0,9.932207488,12.994165683926
"Albacore","Canada",2013,"Export",0,2927426,9872818.00098061,0,9.50541051,3.24701991100714
"Blue Fin","Canada",2013,"Import",0,82965,421816.998978961,0,0.409526678,4.93613786536491
"Tuna N.E.C","Canada",2013,"Import",0,423946,2862634.99739955,0,2.783449669,6.56557596722224
"Tuna N.E.C","Canada",2013,"Export",0,14929,81003.0031556952,0,0.078698763,5.27153613771853
"Tuna N.E.C","Cabo Verde",2013,"Import",0,1200,0,630137.017033652,0.007583699,6.31974916666667
"Yellow Fin","Cabo Verde",2013,"Export",0,11580715,2190079623.94732,0,26.363192063,2.27647360832211
"Yellow Fin","Chile",2013,"Import",0,26049.09,313800.75,328559.37,0.32855937,12.6130843726211
"Yellow Fin","Chile",2013,"Export",0,5874,199755.77,0,0.19975577,34.0067705141301
"Blue Fin","Chile",2013,"Import",0,1963.404,44413.48,47248.382,0.047248382,24.0645236538176
"Tuna N.E.C","Chile",2013,"Export",0,117805.2,277358.8,0,0.2773588,2.3543850356351
"Yellow Fin","Croatia",2013,"Import",0,571270,0,2086371,2.086371,3.65216272515623
"Blue Fin","Croatia",2013,"Import",0,6797,0,102014,0.102014,15.0086803001324
"Big Eye","Croatia",2013,"Import",0,326251,0,1181699,1.181699,3.62205479829947
"Blue Fin","Croatia",2013,"Export",0,2432927,48867176,0,48.867176,20.0857551418518
"Yellow Fin","Czechia",2013,"Import",0,28698,0,354791,0.354791,12.3629172764653
"Albacore","Czechia",2013,"Export",0,272,2589,0,0.002589,9.51838235294118
"Albacore","Czechia",2013,"Import",0,2304,0,21012,0.021012,9.11979166666667
"Tuna N.E.C","Czechia",2013,"Import",0,34158,0,207527,0.207527,6.07550207857603
"Blue Fin","Czechia",2013,"Import",0,5138,0,120191,0.120191,23.3925652004671
"Blue Fin","Czechia",2013,"Export",0,10107,283303,0,0.283303,28.0303749876323
"Yellow Fin","Czechia",2013,"Export",0,2619,49032,0,0.049032,18.7216494845361
"Tuna N.E.C","Czechia",2013,"Export",0,552,7856,0,0.007856,14.231884057971
"Yellow Fin","Denmark",2013,"Import",0,133100,0,1948360.00096297,2.59036386,19.4617870773854
"Tuna N.E.C","Denmark",2013,"Export",0,13000,151000.000805405,0,0.200644699,15.4342076153846
"Albacore","Denmark",2013,"Export",0,8000,97790.0003846405,0,0.130545285,16.318160625
"Albacore","Denmark",2013,"Import",0,8100,0,97290.0004275288,0.129237255,15.9552166666667
"Blue Fin","Denmark",2013,"Import",0,5200,0,91540.0007980776,0.121057535,23.2802951923077
"Yellow Fin","Denmark",2013,"Export",0,45600,540450.001990247,0,0.719036385,15.7683417763158
"Tuna N.E.C","Denmark",2013,"Import",0,60400,0,190599.99960016,0.256426996,4.24548006622517
"Blue Fin","Dominican Rep.",2013,"Import",0,0,0,11876.11,0.01187611,Inf
"Tuna N.E.C","Dominican Rep.",2013,"Import",0,0,0,7480.68,0.00748068,Inf
"Yellow Fin","Ecuador",2013,"Import",0,10381070.57,0,26094228.15,26.09422815,2.51363556138507
"Big Eye","Ecuador",2013,"Export",0,1459844.91,7050321.73,0,7.05032173,4.82950050495432
"Yellow Fin","Ecuador",2013,"Export",0,6771361.28,25805225.5,0,25.8052255,3.81093615196973
"Big Eye","Ecuador",2013,"Import",0,6573220.19,0,15150797.68,15.15079768,2.3049277587033
"Albacore","Ecuador",2013,"Export",0,1584081.94,18878288.52,0,18.87828852,11.9174949497878
"Tuna N.E.C","Ecuador",2013,"Export",0,738632.48,2582640.97,0,2.58264097,3.49651692814808
"Yellow Fin","El Salvador",2013,"Import",0,9495365.4,0,28154256.17,28.15425617,2.96505242125806
"Yellow Fin","El Salvador",2013,"Export",0,177097,494032.5,0,0.4940325,2.78961529557248
"Tuna N.E.C","Estonia",2013,"Import",0,0,0,1919.99947934096,0.002553128,Inf
"Yellow Fin","France",2013,"Import",0,8178600,0,36996200.001596,49.061245831,5.9987339924926
"Yellow Fin","France",2013,"Export",0,44515100,107222450.001415,0,144.296603504,3.24152037182889
"Blue Fin","France",2013,"Import",0,141000,0,1205490.00013148,1.589764533,11.2749257659574
"Tuna N.E.C","France",2013,"Import",0,132300,0,853119.998951031,1.131735113,8.5543092441421
"Albacore","France",2013,"Import",0,1935200,0,6650339.99888571,8.799364005,4.54700496331129
"Albacore","France",2013,"Export",0,2112500,6274169.99782312,0,8.381711639,3.96767414863905
"Big Eye","France",2013,"Export",0,4516100,8317129.9995858,0,11.116056721,2.46142838311818
"Tuna N.E.C","France",2013,"Export",0,7500,88439.9998749615,0,0.117669249,15.6892332
"Big Eye","France",2013,"Import",0,215700,0,1068899.99970711,1.419034066,6.57873929531757
"Blue Fin","France",2013,"Export",0,118100,1296840.00126396,0,1.74169652,14.7476419983065
"Blue Fin","Germany",2013,"Export",0,723,15521.0004729852,0,0.020425861,28.2515366528354
"Tuna N.E.C","Germany",2013,"Import",0,20139.318,0,190031.001019471,0.250527288,12.4397106197936
"Yellow Fin","Germany",2013,"Import",0,261688,0,2546787.00121421,3.381113442,12.9203992617162
"Albacore","Germany",2013,"Import",0,275201,0,1277294.99786744,1.695915848,6.16246252012166
"Albacore","Germany",2013,"Export",0,2121,16057.0000656314,0,0.021236749,10.0126115040075
"Blue Fin","Germany",2013,"Import",0,16329,0,223778.001505889,0.296876872,18.1809585400208
"Yellow Fin","Germany",2013,"Export",0,203641,2757430.99723285,0,3.644787466,17.8981023762405
"Tuna N.E.C","Germany",2013,"Export",0,300,3326.00054435913,0,0.004431708,14.77236
"Tuna N.E.C","Ghana",2013,"Import",0,1776785.8,0,3965515.92636916,2.039768009,1.1480100803372
"Tuna N.E.C","Ghana",2013,"Export",0,4155717.79,40803618.5504026,0,20.778637773,5.00001174839161
"Big Eye","Ghana",2013,"Export",0,78804,454264.870481537,0,0.241322307,3.0623103776458
"Yellow Fin","Greece",2013,"Import",0,476132,0,2716056.99931723,3.608995481,7.57982131215713
"Albacore","Greece",2013,"Export",0,124989,809069.998297358,0,1.076392738,8.6118997511781
"Blue Fin","Greece",2013,"Import",0,10839,0,48243.0013428354,0.064580603,5.95816984961712
"Blue Fin","Greece",2013,"Export",0,446939,4305902.00146213,0,5.690195834,12.7314820008995
"Albacore","Greece",2013,"Import",0,115917,0,439895.000020393,0.582458059,5.02478548444145
"Yellow Fin","Grenada",2013,"Export",0,524747,13832040.00324,0,5.122972656,9.76274786897305
"Yellow Fin","Guatemala",2013,"Import",0,2503,0,35145,0.035145,14.0411506192569
"Tuna N.E.C","China, Hong Kong SAR",2013,"Export",0,23316,3193225.00075749,0,0.411645236,17.6550538685881
"Blue Fin","China, Hong Kong SAR",2013,"Export",0,16162,4846926.00371419,0,0.624945442,38.6675808687044
"Yellow Fin","Hungary",2013,"Export",0,29,207,0,0.000207,7.13793103448276
"Yellow Fin","Iceland",2013,"Import",0,4370,0,17351628.8518851,0.142518852,32.613009610984
"Tuna N.E.C","Indonesia",2013,"Export",0,66133807,56633998,0,56.633998,0.856354723386785
"Yellow Fin","Indonesia",2013,"Export",0,96770769,81150858,0,81.150858,0.838588541132705
"Yellow Fin","Indonesia",2013,"Import",0,420588,0,1749621,1.749621,4.15994036919741
"Big Eye","Indonesia",2013,"Export",0,11204516,10686206,0,10.686206,0.953740973728807
"Tuna N.E.C","Indonesia",2013,"Import",0,119035,0,719685,0.719685,6.0459948754568
"Blue Fin","Indonesia",2013,"Export",0,986099,1972103,0,1.972103,1.99990366078862
"Albacore","Indonesia",2013,"Import",0,1106520,0,2531339,2.531339,2.28765770162311
"Albacore","Indonesia",2013,"Export",0,20471288,14018966,0,14.018966,0.684811136456094
"Albacore","Ireland",2013,"Import",0,84659,0,550339.000601514,0.726880623,8.58598167944341
"Yellow Fin","Ireland",2013,"Import",0,38177,0,529889.998912172,0.701754556,18.3816055740367
"Tuna N.E.C","Ireland",2013,"Export",0,75025,84177.0001286208,0,0.111867761,1.49107312229257
"Tuna N.E.C","Ireland",2013,"Import",0,8123,0,60859.9992537461,0.080986995,9.97008432845008
"Albacore","Israel",2013,"Import",0,0,0,258000,0.258,Inf
"Yellow Fin","Israel",2013,"Import",0,0,0,1343000,1.343,Inf
"Tuna N.E.C","Israel",2013,"Import",0,0,0,1415000,1.415,Inf
"Blue Fin","Italy",2013,"Import",0,234100,0,0,3.130659426,13.3731714053823
"Blue Fin","Italy",2013,"Export",0,654300,0,0,3.760086931,5.74673228029956
"Big Eye","Italy",2013,"Import",0,124200,0,0,1.434066934,11.5464326409018
"Albacore","Italy",2013,"Export",0,1632600,0,0,10.320853705,6.32172835048389
"Albacore","Italy",2013,"Import",0,1319800,0,0,11.467446539,8.68877598045158
"Yellow Fin","Italy",2013,"Export",0,123800,0,0,1.20916237,9.7670627625202
"Tuna N.E.C","Italy",2013,"Import",0,385000,0,0,2.867017864,7.44679964675325
"Tuna N.E.C","Italy",2013,"Export",0,447500,0,0,1.69456802,3.78674417877095
"Yellow Fin","Italy",2013,"Import",0,27131000,0,0,116.748207355,4.30312953282223
"Big Eye","Italy",2013,"Export",0,2800,0,0,0.029589143,10.5675510714286
"Albacore","Côte d'Ivoire",2013,"Import",0,1140,0,657590.806322628,0.001332108,1.16851578947368
"Tuna N.E.C","Côte d'Ivoire",2013,"Import",0,20727699,0,4963018512.95704,10.055641087,0.485130601664951
"Tuna N.E.C","Côte d'Ivoire",2013,"Export",0,785,700889.306501584,0,0.001453999,1.85222802547771
"Big Eye","Japan",2013,"Import",0,84003274,0,56799069000,583.272389125,6.94344828899169
"Blue Fin","Japan",2013,"Import",0,16062316,0,26533034000,270.850185892,16.8624615461432
"Big Eye","Japan",2013,"Export",0,3568716,1644326000,0,16.829866759,4.71594454672213
"Albacore","Japan",2013,"Import",0,22288458,0,6472988000,65.852740066,2.95456689134798
"Yellow Fin","Japan",2013,"Export",0,6191358,1.409e+09,0,14.61588289,2.36069096472858
"Yellow Fin","Japan",2013,"Import",0,46399876,0,23129844000,237.398833163,5.11636783604767
"Blue Fin","Japan",2013,"Export",0,134468,383192000,0,3.907014803,29.0553499940506
"Albacore","Japan",2013,"Export",0,19519052,4074012000,0,41.347367332,2.11830817049926
"Blue Fin","Kazakhstan",2013,"Import",0,15.885,0,42861.37,0.04286137,2698.22914699402
"Yellow Fin","Rep. of Korea",2013,"Import",0,0,0,11956073,11.956073,Inf
"Tuna N.E.C","Rep. of Korea",2013,"Import",0,0,0,18901,0.018901,Inf
"Big Eye","Rep. of Korea",2013,"Export",0,0,63465471,0,63.465471,Inf
"Blue Fin","Rep. of Korea",2013,"Import",0,0,0,12647473,12.647473,Inf
"Blue Fin","Rep. of Korea",2013,"Export",0,0,16788608,0,16.788608,Inf
"Tuna N.E.C","Rep. of Korea",2013,"Export",0,0,2831382,0,2.831382,Inf
"Yellow Fin","Rep. of Korea",2013,"Export",0,0,71114470,0,71.11447,Inf
"Albacore","Rep. of Korea",2013,"Import",0,0,0,1833679,1.833679,Inf
"Big Eye","Rep. of Korea",2013,"Import",0,0,0,22410905,22.410905,Inf
"Albacore","Rep. of Korea",2013,"Export",0,0,8402978,0,8.402978,Inf
"Tuna N.E.C","Latvia",2013,"Export",0,490,2612.99905859432,0,0.00495459,10.1114081632653
"Blue Fin","Latvia",2013,"Import",0,1098,0,5220.00022172616,0.009774654,8.9022349726776
"Tuna N.E.C","Latvia",2013,"Import",0,689,0,11196.9996736783,0.021224115,30.8042307692308
"Albacore","Latvia",2013,"Import",0,153,0,1874.00027912531,0.003526577,23.049522875817
"Tuna N.E.C","Lithuania",2013,"Import",0,376695,0,189786,0.189786,0.503818739298371
"Albacore","Luxembourg",2013,"Import",0,7656011,0,197635.999881739,0.262173698,0.0342441642259918
"Yellow Fin","Luxembourg",2013,"Export",0,1926690,264704.147983726,0,0.351229914,0.182297055571991
"Yellow Fin","Luxembourg",2013,"Import",0,11580020,0,1128212.00074833,1.495739635,0.129165548505098
"Blue Fin","Luxembourg",2013,"Import",0,3255304,0,160208.999384254,0.212862694,0.0653894978779248
"Tuna N.E.C","Luxembourg",2013,"Import",0,105658,0,178685.999102213,0.236918965,2.24231922807549
"Albacore","Luxembourg",2013,"Export",0,118539,5538.99984191328,0,0.007383065,0.0622838475101022
